time,open,high,low,close,volume
2026-06-29 06:26:00+00:00,60234.6,60234.6,60234.59,60234.59,0.02227965
2026-06-29 06:27:00+00:00,60178.1,60193.78,60178.1,60178.45,0.01202063
2026-06-29 06:29:00+00:00,60175.15,60181.83,60144.63,60181.83,0.0475829
2026-06-29 06:33:00+00:00,60102.56,60102.56,60075.58,60075.61,0.1100269
2026-06-29 06:39:00+00:00,60063.49,60076.05,60060.94,60076.05,0.004638
2026-06-29 06:41:00+00:00,60089.05,60093.43,60089.05,60093.43,0.01997263
2026-06-29 06:45:00+00:00,60081.6,60081.6,60073.48,60074.35,0.01486834
2026-06-29 06:48:00+00:00,60119.22,60119.22,60078.83,60078.83,0.026266
2026-06-29 06:51:00+00:00,60105.51,60119.22,60105.51,60119.22,0.13531815
2026-06-29 06:54:00+00:00,60142.6,60142.6,60111.21,60111.21,0.00902519
2026-06-29 06:55:00+00:00,60094.5,60095.63,60086.4,60086.66,0.0229
2026-06-29 06:56:00+00:00,60072.87,60072.87,60054.82,60054.82,0.0137507
2026-06-29 07:01:00+00:00,60013.35,60013.35,59934.92,59934.92,0.04289303
2026-06-29 07:02:00+00:00,59954.73,59954.73,59931.27,59931.27,8.444e-05
2026-06-29 07:03:00+00:00,59955.92,60065.12,59955.92,60065.12,0.15842482
2026-06-29 07:05:00+00:00,60038.62,60038.62,60008.99,60021.6,0.04388224
2026-06-29 07:08:00+00:00,60027.28,60027.28,59987.65,59991.51,0.1066509
2026-06-29 07:09:00+00:00,60009.28,60009.28,59990.73,59990.73,0.02207249
2026-06-29 07:11:00+00:00,60006.77,60035.32,60006.77,60035.32,0.06994196
2026-06-29 07:14:00+00:00,60069.18,60069.19,60069.18,60069.19,0.01668362
2026-06-29 07:15:00+00:00,60099.03,60139.15,60096.18,60139.15,0.1162817
2026-06-29 07:17:00+00:00,60114.55,60114.55,60077.01,60077.02,0.04218362
2026-06-29 07:21:00+00:00,60051.47,60071.15,60049.68,60071.05,0.02439444
2026-06-29 07:23:00+00:00,60036.61,60053.84,60031.33,60053.84,0.0667783
2026-06-29 07:27:00+00:00,60044.92,60070.16,60044.91,60064.93,0.03103342
2026-06-29 07:29:00+00:00,60134.91,60134.91,60102.08,60102.08,0.03462518
2026-06-29 07:30:00+00:00,60102.93,60102.93,60086.41,60086.41,0.00397592
2026-06-29 07:31:00+00:00,60087.17,60096.55,60087.17,60096.55,0.05195
2026-06-29 07:33:00+00:00,60071.97,60071.97,60071.97,60071.97,0.00014982
2026-06-29 07:34:00+00:00,60065.89,60081.4,60065.89,60081.4,0.00273798
2026-06-29 07:45:00+00:00,60064.58,60082.87,60064.57,60066.83,0.05328085
2026-06-29 07:47:00+00:00,60094.81,60094.81,60067.51,60067.53,0.09941947
2026-06-29 07:50:00+00:00,60094.14,60099.33,60073.5,60073.5,0.03159186
2026-06-29 08:00:00+00:00,60024.57,60028.99,60006.19,60006.19,0.029458
2026-06-29 08:02:00+00:00,60042.59,60042.59,60042.59,60042.59,0.02088968
2026-06-29 08:03:00+00:00,60056.64,60087.09,60035.39,60087.09,0.06149347
